Naam,Team,Prijs
Alex Baudin,EF Education - EasyPost,€3M
Niklas Behrens,Team Visma | Lease a Bike,€3M
Clément Berthet,Groupama - FDJ United,€3M
Cédric Beullens,Lotto-Intermarché,€3M
Jenthe Biermans,Cofidis,€3M
Léo Bisiaux,Decathlon CMA CGM Team,€3M
Stefan Bissegger,Decathlon CMA CGM Team,€3M
Mikkel Bjerg,UAE Team Emirates - XRG,€3M
Joseph Blackmore,NSN Cycling Team,€3M
Erlend Blikra,Uno-X Mobility,€3M
Koen Bouwman,Team Jayco AlUla,€3M
Vito Braet,Lotto-Intermarché,€3M
Marco Brenner,Tudor Pro Cycling Team,€3M
Alexys Brunel,Team TotalEnergies,€3M
Emanuel Buchmann,Cofidis,€3M
Mathieu Burgaudeau,Team TotalEnergies,€3M
Francesco Busatto,Alpecin - Premier Tech,€3M
Carlos Canal,Movistar Team,€3M
Amaury Capiot,Team Jayco AlUla,€3M
Mattia Cattaneo,Red Bull - BORA - hansgrohe,€3M
Rémi Cavagna,Groupama - FDJ United,€3M
Alexander Cepeda,EF Education - EasyPost,€3M
Jefferson Alveiro Cepeda,Movistar Team,€3M
Clément Champoussin,XDS Astana Team,€3M
Fabio Christen,Pinarello - Q36.5 Pro Cycling,€3M
Filippo Conca,Team Jayco AlUla,€3M
Simone Consonni,Lidl - Trek,€3M
Ewen Costiou,Groupama - FDJ United,€3M
Alessandro Covi,Team Jayco AlUla,€3M
Tom Crabbe,Team Flanders - Baloise,€3M
Steff Cras,Soudal Quick-Step,€3M
Ramses Debruyne,Alpecin - Premier Tech,€3M
Aimé De Gendt,Pinarello - Q36.5 Pro Cycling,€3M
John Degenkolb,Team Picnic PostNL,€3M
Simon Dehairs,Alpecin - Premier Tech,€3M
David Dekker,BEAT Cycling Club,€3M
David De La Cruz,Pinarello - Q36.5 Pro Cycling,€3M
Alexandre Delettre,Team TotalEnergies,€3M
Nico Denz,Red Bull - BORA - hansgrohe,€3M
Laurens De Plus,INEOS Grenadiers,€3M
Steffen De Schuyteneer,Lotto-Intermarché,€3M
Stan Dewulf,Decathlon CMA CGM Team,€3M
Silvan Dillier,Alpecin - Premier Tech,€3M
Paul Double,Team Jayco AlUla,€3M
Sandy Dujardin,Team TotalEnergies,€3M
Timothy Dupont,Tarteletto - Isorex,€3M
Luke Durbridge,Team Jayco AlUla,€3M
Pascal Eenkhoorn,Soudal Quick-Step,€3M
Odd Christian Eiking,Unibet Rose Rockets,€3M
Itamar Einhorn,NSN Cycling Team,€3M
Felix Engelhardt,Team Jayco AlUla,€3M
Haimar Etxeberria,Red Bull - BORA - hansgrohe,€3M
Afonso Eulálio,Bahrain - Victorious,€3M
Yevgeniy Fedorov,XDS Astana Team,€3M
Filippo Fiorelli,Team Visma | Lease a Bike,€3M
Finn Fisher-Black,Red Bull - BORA - hansgrohe,€3M
Anders Foldager,Team Jayco AlUla,€3M
Davide Formolo,Movistar Team,€3M
Tobias Foss,INEOS Grenadiers,€3M
Stian Fredheim,Uno-X Mobility,€3M
Marco Frigo,NSN Cycling Team,€3M
Frederik Frison,Pinarello - Q36.5 Pro Cycling,€3M
Raul Garcia Pierna,Movistar Team,€3M
Gianmarco Garofoli,Soudal Quick-Step,€3M
Pierre Gautherat,Decathlon CMA CGM Team,€3M
Robbe Ghys,Decathlon CMA CGM Team,€3M
Matevž Govekar,Bahrain - Victorious,€3M
Felix Großschartner,UAE Team Emirates - XRG,€3M
Thibaud Gruel,Groupama - FDJ United,€3M
Tord Gudmestad,Decathlon CMA CGM Team,€3M
Per Strand Hagenes,Team Visma | Lease a Bike,€3M
Jack Haig,INEOS Grenadiers,€3M
Marco Haller,Tudor Pro Cycling Team,€3M
Jesús Herrada,Burgos Burpellet BH,€3M
Rune Herregodts,UAE Team Emirates - XRG,€3M
Sergio Higuita,XDS Astana Team,€3M
Jan Hirt,NSN Cycling Team,€3M
Noah Hobbs,EF Education - EasyPost,€3M
Markus Hoelgaard,Uno-X Mobility,€3M
Mikkel Honoré,EF Education - EasyPost,€3M
Daan Hoole,Decathlon CMA CGM Team,€3M
Damien Howson,Pinarello - Q36.5 Pro Cycling,€3M
Ion Izagirre,Cofidis,€3M
Anders Johannessen,Uno-X Mobility,€3M
Bob Jungels,INEOS Grenadiers,€3M
Lennard Kämna,Lidl - Trek,€3M
Alexander Kamp,Uno-X Mobility,€3M
Wilco Kelderman,Team Visma | Lease a Bike,€3M
Timo Kielich,Team Visma | Lease a Bike,€3M
Alex Kirsch,Cofidis,€3M
Oliver Knight,Cofidis,€3M
Oded Kogut,NSN Cycling Team,€3M
Patrick Konrad,Lidl - Trek,€3M
Jelte Krijnsen,Team Jayco AlUla,€3M
Andreas Kron,Uno-X Mobility,€3M
Steven Kruijswijk,Team Visma | Lease a Bike,€3M
Johannes Kulset,Uno-X Mobility,€3M
Jordan Labrosse,Decathlon CMA CGM Team,€3M
Vegard Stake Laengen,UAE Team Emirates - XRG,€3M
Victor Lafay,Unibet Rose Rockets,€3M
Yves Lampaert,Soudal Quick-Step,€3M
Victor Langellotti,INEOS Grenadiers,€3M
Niklas Larsen,Unibet Rose Rockets,€3M
Junior Lecerf,Soudal Quick-Step,€3M
Iúri Leitão,Caja Rural - Seguros RGA,€3M
Bart Lemmen,Team Visma | Lease a Bike,€3M
Emils Liepinš,Pinarello - Q36.5 Pro Cycling,€3M
Arjen Livyns,XDS Astana Team,€3M
Giovanni Lonardi,Team Polti VisitMalta,€3M
Lander Loockx,Unibet Rose Rockets,€3M
Harold López,XDS Astana Team,€3M
Juan Pedro López,Movistar Team,€3M
Matis Louvel,NSN Cycling Team,€3M
Matteo Malucelli,XDS Astana Team,€3M
Lorrenzo Manzin,Team TotalEnergies,€3M
Martin Marcellusi,Bardiani-CSF 7 Saber,€3M
Marius Mayrhofer,Tudor Pro Cycling Team,€3M
Xandro Meurisse,Pinarello - Q36.5 Pro Cycling,€3M
Luka Mezgec,Team Jayco AlUla,€3M
Lorenzo Milesi,Movistar Team,€3M
Pau Miquel,Bahrain - Victorious,€3M
Rudy Molard,Groupama - FDJ United,€3M
Bauke Mollema,Lidl - Trek,€3M
Oliver Naesen,Decathlon CMA CGM Team,€3M
Krists Neilands,NSN Cycling Team,€3M
Lukas Nerurkar,EF Education - EasyPost,€3M
